,pincode,state,latitude,longitude
301,412110,Maharashtra,18.5015,74.0758
302,412112,Maharashtra,18.4049,73.4633
303,412115,Maharashtra,18.542,73.6656
304,412201,Maharashtra,18.4568,74.0383
305,412202,Maharashtra,18.4636,74.1458
306,412203,Maharashtra,18.4697,74.3679
307,412204,Maharashtra,18.3168,74.386
308,412205,Maharashtra,18.2828,73.9063
309,412206,Maharashtra,18.1357,73.7487
310,412207,Maharashtra,18.5719,74.1469
311,412208,Maharashtra,18.6879,74.1198
312,412209,Maharashtra,18.7387,74.2321
313,412210,Maharashtra,18.7072,74.4143
314,412211,Maharashtra,18.6098,74.4027
315,412212,Maharashtra,18.2819,73.5889
316,412213,Maharashtra,18.2658,73.7513
317,412214,Maharashtra,18.4934,74.2634
318,412215,Maharashtra,18.4923,74.4308
319,412216,Maharashtra,18.6146,74.0691
320,412218,Maharashtra,18.8751,74.1953
321,412219,Maharashtra,18.4348,74.4558
322,412220,Maharashtra,18.8088,74.2743
323,412301,Maharashtra,18.3412,74.0057
324,412303,Maharashtra,18.298,74.1858
325,412304,Maharashtra,18.24,74.3033
326,412305,Maharashtra,18.1876,74.1702
327,412306,Maharashtra,18.1271,74.316
328,412307,Maharashtra,18.5134,73.9698
329,412308,Maharashtra,18.4465,73.9675
330,412311,Maharashtra,18.207,74.0553
331,412312,Maharashtra,18.1333,74.106
332,412401,Maharashtra,19.1302,73.9179
333,412402,Maharashtra,19.0338,73.6483
334,412403,Maharashtra,18.8099,74.0655
335,412404,Maharashtra,18.936,73.7665
336,412405,Maharashtra,18.9613,73.9715
337,412406,Maharashtra,18.9747,74.0708
338,412408,Maharashtra,19.0534,73.8268
339,412409,Maharashtra,19.301,73.9147
340,412410,Maharashtra,19.1455,74.2015
341,412411,Maharashtra,19.1749,74.1167
342,412412,Maharashtra,19.1731,74.0498
343,412801,Maharashtra,18.1236,73.9545
344,412802,Maharashtra,18.0575,73.9881
345,412803,Maharashtra,17.9772,73.8061
346,412804,Maharashtra,17.9183,73.8949
347,412805,Maharashtra,17.9106,73.7966
348,412806,Maharashtra,17.8384,73.6854
349,413001,Maharashtra,17.6717,75.899
350,413002,Maharashtra,17.7267,75.9614
351,413003,Maharashtra,17.6577,75.918
352,413004,Maharashtra,17.6522,75.8734
353,413005,Maharashtra,17.6769,75.9424
354,413006,Maharashtra,17.6513,75.9906
355,413007,Maharashtra,17.6547,75.9059
356,413008,Maharashtra,17.5153,75.887
357,413101,Maharashtra,17.8964,74.9722
358,413102,Maharashtra,18.2105,74.5564
359,413103,Maharashtra,17.9652,75.0071
360,413104,Maharashtra,18.1116,74.7071
361,413105,Maharashtra,18.3488,74.7896
362,413106,Maharashtra,18.124,75.0319
363,413107,Maharashtra,17.819,74.8819
364,413108,Maharashtra,17.9245,75.103
365,413109,Maharashtra,17.9214,74.7436
366,413110,Maharashtra,18.1765,74.427
367,413111,Maharashtra,17.8381,74.8114
368,413112,Maharashtra,17.8597,75.1321
369,413113,Maharashtra,17.7847,75.0377
370,413114,Maharashtra,18.0512,74.841
371,413115,Maharashtra,18.1387,74.5107
372,413116,Maharashtra,18.0796,74.504
373,413118,Maharashtra,17.8681,75.022
374,413120,Maharashtra,18.0862,74.9137
375,413130,Maharashtra,18.2899,74.6897
376,413132,Maharashtra,18.205,74.8582
377,413133,Maharashtra,18.2139,74.6333
378,413201,Maharashtra,18.7158,75.2984
379,413202,Maharashtra,18.2375,75.1509
380,413203,Maharashtra,18.3893,75.1313
381,413204,Maharashtra,18.6614,75.4487
382,413205,Maharashtra,18.5938,75.2829
383,413206,Maharashtra,18.2882,74.9911
384,413207,Maharashtra,18.8993,75.3186
385,413208,Maharashtra,18.0688,75.3983
386,413209,Maharashtra,18.0254,75.5369
387,413210,Maharashtra,18.0474,75.2887
388,413211,Maharashtra,17.996,75.215
389,413212,Maharashtra,18.0077,75.0821
390,413213,Maharashtra,17.803,75.6652
391,413214,Maharashtra,17.9103,75.553
392,413215,Maharashtra,17.5102,75.9861
393,413216,Maharashtra,17.5314,76.2541
394,413217,Maharashtra,17.4521,76.3144
395,413218,Maharashtra,17.6434,76.3587
396,413219,Maharashtra,17.3918,76.0086
397,413220,Maharashtra,17.3599,76.3462
398,413221,Maharashtra,17.4985,75.7576
399,413222,Maharashtra,17.8752,75.7891
400,413223,Maharashtra,18.1704,75.2708
401,413224,Maharashtra,17.6169,75.9466
402,413225,Maharashtra,17.6158,75.9336
403,413226,Maharashtra,17.6376,76.1839
404,413227,Maharashtra,17.3946,76.1651
405,413228,Maharashtra,17.5876,76.0818
406,413229,Maharashtra,18.9374,75.4461
407,413233,Maharashtra,17.7473,75.5235
408,413235,Maharashtra,17.4862,76.1093
409,413245,Maharashtra,17.6736,75.6616
410,413248,Maharashtra,17.7568,75.54
411,413249,Maharashtra,19.0775,75.448
412,413250,Maharashtra,18.1257,75.5237
413,413251,Maharashtra,18.2719,75.3123
414,413252,Maharashtra,18.1967,75.384
415,413253,Maharashtra,17.6186,75.6716
416,413255,Maharashtra,17.7252,75.8078
417,413301,Maharashtra,17.9254,75.3911
418,413302,Maharashtra,17.8746,75.2592
419,413303,Maharashtra,17.8319,75.4011
420,413304,Maharashtra,17.6806,75.3519
421,413305,Maharashtra,17.5002,75.457
422,413306,Maharashtra,17.5834,75.0485
423,413307,Maharashtra,17.3922,75.1322
424,413308,Maharashtra,17.3803,75.0375
425,413309,Maharashtra,17.2942,75.2344
426,413310,Maharashtra,17.6904,75.011
427,413314,Maharashtra,17.2207,74.9362
428,413315,Maharashtra,17.802,75.2535
429,413317,Maharashtra,17.5401,75.2407
430,413319,Maharashtra,17.3717,75.5284
431,413322,Maharashtra,17.3213,75.3952
432,413324,Maharashtra,17.8622,75.4787
433,413401,Maharashtra,18.18,75.7288
434,413402,Maharashtra,18.0549,75.8145
435,413403,Maharashtra,18.1327,75.7613
436,413404,Maharashtra,18.2758,75.8739
437,413405,Maharashtra,18.3399,75.9781
438,413406,Maharashtra,18.0417,75.9365
439,413409,Maharashtra,18.353,75.7591
440,413410,Maharashtra,17.9811,75.6387
441,413411,Maharashtra,18.2345,75.6546
442,413412,Maharashtra,18.0233,75.735
443,413501,Maharashtra,18.1624,76.0153
444,413502,Maharashtra,18.2802,75.5194
445,413503,Maharashtra,18.5378,75.7943
446,413504,Maharashtra,18.4808,75.5977
447,413505,Maharashtra,18.4462,75.396
448,413506,Maharashtra,18.0904,76.2219
449,413507,Maharashtra,18.5315,75.9917
450,413508,Maharashtra,18.3587,76.0684
451,413509,Maharashtra,18.3158,76.2156
452,413510,Maharashtra,18.413,76.2604
453,413511,Maharashtra,18.4399,76.3568
454,413512,Maharashtra,18.4209,76.5878
455,413513,Maharashtra,18.5248,76.8994
456,413514,Maharashtra,18.6462,77.042
457,413515,Maharashtra,18.7264,76.9017
458,413516,Maharashtra,18.0388,76.6029
459,413517,Maharashtra,18.4179,77.0934
460,413518,Maharashtra,18.4922,76.9997
461,413519,Maharashtra,18.2413,77.0281
462,413520,Maharashtra,18.1742,76.4925
463,413521,Maharashtra,18.1063,76.7357
464,413522,Maharashtra,18.0664,76.886
465,413523,Maharashtra,18.6909,76.76
466,413524,Maharashtra,18.4432,76.8828
467,413525,Maharashtra,18.4069,75.9309
468,413526,Maharashtra,18.6458,75.727
469,413527,Maharashtra,18.5416,76.5531
470,413528,Maharashtra,18.4904,76.1758
471,413529,Maharashtra,18.5609,76.779
472,413530,Maharashtra,18.2155,76.8303
473,413531,Maharashtra,18.377,76.5851
474,413532,Maharashtra,18.5696,77.1914
475,413534,Maharashtra,18.6426,75.5953
476,413544,Maharashtra,18.329,76.8401
477,413580,Maharashtra,18.3262,76.1284
478,413581,Maharashtra,18.4431,76.7668
479,413582,Maharashtra,18.1977,76.1051
480,413601,Maharashtra,17.9656,76.1442
481,413602,Maharashtra,17.8018,76.3163
