Pincode,MMI State,latitude,longitude
533256,Andhra Pradesh,16.8229,82.0336
533343,Andhra Pradesh,16.9619,82.0295
533345,Andhra Pradesh,16.905,82.0269
534342,Andhra Pradesh,16.9928,81.6225
534301,Andhra Pradesh,16.9189,81.6542
534305,Andhra Pradesh,16.9521,81.5554
534316,Andhra Pradesh,17.1127,81.5072
534313,Andhra Pradesh,17.0373,81.5408
533289,Andhra Pradesh,17.1611,81.8481
533290,Andhra Pradesh,17.1817,81.7827
534341,Andhra Pradesh,17.1458,81.618
534318,Andhra Pradesh,17.2069,81.5289
534312,Andhra Pradesh,17.1147,81.388
533126,Andhra Pradesh,16.8831,81.8414
533234,Andhra Pradesh,16.8402,81.8757
533292,Andhra Pradesh,17.1139,81.8384
533102,Andhra Pradesh,17.0629,81.8223
534340,Andhra Pradesh,17.088,81.6443
534302,Andhra Pradesh,16.923,81.7094
534350,Andhra Pradesh,17.0327,81.7009
534112,Andhra Pradesh,16.9212,81.37
534111,Andhra Pradesh,16.9684,81.4466
534176,Andhra Pradesh,16.9927,81.3907
534329,Andhra Pradesh,16.855,81.7044
534145,Andhra Pradesh,16.8754,81.5988
534331,Andhra Pradesh,16.7971,81.736
534330,Andhra Pradesh,16.7361,81.7631
534324,Andhra Pradesh,16.6772,81.7667
534328,Andhra Pradesh,16.7445,81.7252
533235,Andhra Pradesh,16.8825,81.7724
533107,Andhra Pradesh,16.9865,81.8316
533106,Andhra Pradesh,17.0287,81.8234
533125,Andhra Pradesh,16.9312,81.7986
533105,Andhra Pradesh,17.0402,81.7786
533293,Andhra Pradesh,17.0862,81.7514
533103,Andhra Pradesh,17.0093,81.7945
533101,Andhra Pradesh,16.9821,81.7775
533124,Andhra Pradesh,16.9446,81.8464
533294,Andhra Pradesh,17.047,81.9219
533341,Andhra Pradesh,16.9236,81.9065
533297,Andhra Pradesh,17.1356,81.9335
533296,Andhra Pradesh,16.9806,81.9
533291,Andhra Pradesh,17.0488,82.0017
533437,Andhra Pradesh,17.0741,82.0941
534216,Andhra Pradesh,16.7946,81.6826
534227,Andhra Pradesh,16.8166,81.6976
534156,Andhra Pradesh,16.7952,81.6061
534218,Andhra Pradesh,16.7819,81.6435
521212,Andhra Pradesh,16.6205,80.6805
521211,Andhra Pradesh,16.7016,80.788
521109,Andhra Pradesh,16.5971,80.8806
